Destino del reclamo,Quién lo resolvió,Tipo de reclamo,Fecha del reclamo,Estado del reclamo
  INFRAESTRUCTURA  ,  Soporte Nivel 1  ,error de sistema,2024-12-12,Resuelto
Recursos humanos,JUAN PÉREZ,CONSULTA GENERAL,2024-12-13,Pendiente
SISTEMAS,MARÍA LÓPEZ,problema de acceso,2024-12-14,En proceso
infraestructura,Juan Pérez,problema de acceso,2024/12/15,RESUELTO
Soporte técnico,  soporte nivel 1  ,SOLICITUD DE EQUIPO,2024-12-16,Resuelto
recursos humanos,,CONSULTA GENERAL,2024-12-17,  pendiente  
FINANZAS,HELP DESK,ACTUALIZACIÓN DE SOFTWARE,2024-12-18,RESUELTO
  Infraestructura  ,JUAN PÉREZ,Problema de acceso,2024-12-19,Cerrado
  Soporte técnico  ,  Juan Pérez  ,PROBLEMA DE ACCESO,2024/12/20,PENDIENTE
Recurs0s human0s,maría lópez,Actualización de s0ftware,2024-12-21,Resuelto
Infraestructura,s0p0rte nivel 1,Consulta general,,PENDIENTE
  Soporte técnico  ,Administrador TI,  error de sistema  ,2024-12-23,resuelto
Finanzas,JUAN PÉREZ,PROBLEMA DE ACCESO,2024/12/24,CERRADO
  Recursos humanos  ,Administrador TI,Error de sistema,2024-12-25,Pendiente
Recursos humanos,administrador ti,Solicitud de equipo,2024-12-26,RESUELTO
Finanzas,Administrador TI,Problema de acceso,2024-12-27,  RESUELTO  
RECURSOS HUMANOS,Help Desk,Err0r de sistema,2024-12-28,Pendiente
  Infraestructura  ,  MARÍA LÓPEZ  ,problema de acceso,2024-12-29,RESUELTO
  Finanzas  ,JUAN PÉREZ,ACTUALIZACIÓN DE SOFTWARE,2024-12-30,Pendiente
Recursos humanos,soporte nivel 1,CONSULTA GENERAL,2024-12-31,
Infraestructura,María López,Consulta general,2025-01-01,  Cerrad0  
INFRAESTRUCTURA,  Administrador TI  ,  Problema de acceso  ,2025-01-02,  Resuelto  
  Sistemas  ,soporte nivel 1,Actualización de software,2025-01-03,Cerrado
soporte técnico,S0p0rte Nivel 1,ERROR DE SISTEMA,2025-01-04,Cerrado
finanzas,  Soporte Nivel 1  ,Error de sistema,2025-01-05,  CERRADO  
soporte técnico,MARÍA LÓPEZ,ERROR DE SISTEMA,2025/01/06,  Cerrado  
  Finanzas  ,JUAN PÉREZ,SOLICITUD DE EQUIPO,2025-01-07,En proceso
INFRAESTRUCTURA,Help Desk,  error de sistema  ,2025/01/08,CERRADO
Infraestructura,  María López  ,actualización de software,2025-01-09,Cerrado
  finanzas  ,Soporte Nivel 1,CONSULTA GENERAL,2025-01-10,Pendiente
  Sistemas  ,María López,,2025-01-11,En proceso
  Recursos humanos  ,soporte nivel 1,solicitud de equipo,2025-01-12,En proceso
Recursos humanos,Help Desk,problema de acceso,2025-01-13,RESUELTO
soporte técnico,Juan Pérez,problema de acceso,2025/01/14,resuelto
Finanzas,Soporte Nivel 1,  problema de acceso  ,25-01-15,En proceso
  finanzas  ,S0p0rte Nivel 1,Error de sistema,2025-01-16,Resuelt0
  infraestructura  ,  help desk  ,PROBLEMA DE ACCESO,2025-01-17,Cerrado
,  Juan Pérez  ,CONSULTA GENERAL,2025-01-18,Pendiente
Soporte técnico,Help Desk,CONSULTA GENERAL,2025-01-19,Resuelto
Sistemas,Help Desk,SOLICITUD DE EQUIPO,2025/01/20,Pendiente
Infraestructura,  María López  ,Solicitud de equipo,2025/01/21,  En pr0ces0  
,Administrador TI,Consulta general,2025-01-22,  Cerrado  
Finanzas,  Help Desk  ,  consulta general  ,2025-01-23,Resuelto
Finanzas,JUAN PÉREZ,  actualización de s0ftware  ,2025/01/24,PENDIENTE
  Sistemas  ,Administrador TI,  Consulta general  ,25-01-25,
,Help Desk,ERROR DE SISTEMA,2025-01-26,  PENDIENTE  
  Recursos humanos  ,HELP DESK,ERROR DE SISTEMA,2025-01-27,En proceso
Recursos humanos,  Administrador TI  ,CONSULTA GENERAL,2025-01-28,Resuelto
recursos humanos,  Juan Pérez  ,,2025-01-29,CERRADO
finanzas,ADMINISTRADOR TI,  Consulta general  ,2025-01-30,  Cerrado  
SOPORTE TÉCNICO,SOPORTE NIVEL 1,Consulta general,2025-01-31,pendiente
soporte técnico,Help Desk,SOLICITUD DE EQUIPO,2025-02-01,En proceso
,HELP DESK,Consulta general,25/02/02,Resuelto
Finanzas,ADMINISTRADOR TI,  Problema de acceso  ,2025-02-03,Resuelto
