Destino del reclamo,Quién lo resolvió,Tipo de reclamo,Fecha del reclamo,Estado del reclamo,Grado de satisfacción
  Soporte técnico  ,JUAN PÉREZ,  C0nsulta general  ,2024-11-25,  en proceso  ,0
Recursos humanos,  Soporte Nivel 1  ,  ACTUALIZACIÓN DE SOFTWARE  ,2024-11-26,Resuelto,2
SOPORTE TÉCNICO,  Soporte Nivel 1  ,Consulta general,2024-11-27,CERRADO,2
,JUAN PÉREZ,ACTUALIZACIÓN DE SOFTWARE,2024-11-28,EN PROCESO,0
INFRAESTRUCTURA,  help desk  ,Actualización de software,2024-11-29,En proceso,0
SOPORTE TÉCNICO,María López,SOLICITUD DE EQUIPO,2024-11-30,RESUELTO,5
Finanzas,JUAN PÉREZ,Error de sistema,2024/12/01,Cerrado,5
Infraestructura,JUAN PÉREZ,Solicitud de equipo,2024-12-02,RESUELTO,5
Recursos humanos,MARÍA LÓPEZ,solicitud de equipo,24-12-03,EN PROCESO,0
finanzas,administrador ti,PROBLEMA DE ACCESO,2024-12-04,  RESUELTO  ,1
Recursos humanos,  help desk  ,Consulta general,24-12-05,En proceso,0
Recursos humanos,Soporte Nivel 1,Consulta general,2024-12-06,en proceso,0
RECURSOS HUMANOS,maría lópez,ACTUALIZACIÓN DE SOFTWARE,2024-12-07,Resuelt0,0
  Infraestructura  ,  MARÍA LÓPEZ  ,Solicitud de equipo,2024-12-08,Resuelto,3
,Help Desk,ERROR DE SISTEMA,,EN PROCESO,0
Finanzas,ADMINISTRADOR TI,  Consulta general  ,2024-12-10,Pendiente,0
,María López,Actualización de software,2024-12-11,Cerrado,4
  INFRAESTRUCTURA  ,  Soporte Nivel 1  ,error de sistema,2024-12-12,Resuelto,5
Recursos humanos,JUAN PÉREZ,CONSULTA GENERAL,2024-12-13,Pendiente,0
SISTEMAS,MARÍA LÓPEZ,problema de acceso,2024-12-14,En proceso,0
infraestructura,Juan Pérez,problema de acceso,2024/12/15,RESUELTO,1
Soporte técnico,  soporte nivel 1  ,SOLICITUD DE EQUIPO,2024-12-16,Resuelto,4
recursos humanos,,CONSULTA GENERAL,2024-12-17,  pendiente  ,0
FINANZAS,HELP DESK,ACTUALIZACIÓN DE SOFTWARE,2024-12-18,RESUELTO,1
  Infraestructura  ,JUAN PÉREZ,Problema de acceso,2024-12-19,Cerrado,1
  Soporte técnico  ,  Juan Pérez  ,PROBLEMA DE ACCESO,2024/12/20,PENDIENTE,0
Recurs0s human0s,maría lópez,Actualización de s0ftware,2024-12-21,Resuelto,1
Infraestructura,s0p0rte nivel 1,Consulta general,,PENDIENTE,0
  Soporte técnico  ,Administrador TI,  error de sistema  ,2024-12-23,resuelto,5
Finanzas,JUAN PÉREZ,PROBLEMA DE ACCESO,2024/12/24,CERRADO,2
  Recursos humanos  ,Administrador TI,Error de sistema,2024-12-25,Pendiente,0
Recursos humanos,administrador ti,Solicitud de equipo,2024-12-26,RESUELTO,2
Finanzas,Administrador TI,Problema de acceso,2024-12-27,  RESUELTO  ,4
RECURSOS HUMANOS,Help Desk,Err0r de sistema,2024-12-28,Pendiente,0
  Infraestructura  ,  MARÍA LÓPEZ  ,problema de acceso,2024-12-29,RESUELTO,4
  Finanzas  ,JUAN PÉREZ,ACTUALIZACIÓN DE SOFTWARE,2024-12-30,Pendiente,0
Recursos humanos,soporte nivel 1,CONSULTA GENERAL,2024-12-31,,0
Infraestructura,María López,Consulta general,2025-01-01,  Cerrad0  ,0
INFRAESTRUCTURA,  Administrador TI  ,  Problema de acceso  ,2025-01-02,  Resuelto  ,1
  Sistemas  ,soporte nivel 1,Actualización de software,2025-01-03,Cerrado,2
soporte técnico,S0p0rte Nivel 1,ERROR DE SISTEMA,2025-01-04,Cerrado,5
finanzas,  Soporte Nivel 1  ,Error de sistema,2025-01-05,  CERRADO  ,4
soporte técnico,MARÍA LÓPEZ,ERROR DE SISTEMA,2025/01/06,  Cerrado  ,4
  Finanzas  ,JUAN PÉREZ,SOLICITUD DE EQUIPO,2025-01-07,En proceso,0
INFRAESTRUCTURA,Help Desk,  error de sistema  ,2025/01/08,CERRADO,1
Infraestructura,  María López  ,actualización de software,2025-01-09,Cerrado,1
  finanzas  ,Soporte Nivel 1,CONSULTA GENERAL,2025-01-10,Pendiente,0
  Sistemas  ,María López,,2025-01-11,En proceso,0
  Recursos humanos  ,soporte nivel 1,solicitud de equipo,2025-01-12,En proceso,0
Recursos humanos,Help Desk,problema de acceso,2025-01-13,RESUELTO,2
soporte técnico,Juan Pérez,problema de acceso,2025/01/14,resuelto,3
Finanzas,Soporte Nivel 1,  problema de acceso  ,25-01-15,En proceso,0
  finanzas  ,S0p0rte Nivel 1,Error de sistema,2025-01-16,Resuelt0,0
  infraestructura  ,  help desk  ,PROBLEMA DE ACCESO,2025-01-17,Cerrado,5
,  Juan Pérez  ,CONSULTA GENERAL,2025-01-18,Pendiente,0
Soporte técnico,Help Desk,CONSULTA GENERAL,2025-01-19,Resuelto,1
Sistemas,Help Desk,SOLICITUD DE EQUIPO,2025/01/20,Pendiente,0
Infraestructura,  María López  ,Solicitud de equipo,2025/01/21,  En pr0ces0  ,0
,Administrador TI,Consulta general,2025-01-22,  Cerrado  ,4
Finanzas,  Help Desk  ,  consulta general  ,2025-01-23,Resuelto,2
Finanzas,JUAN PÉREZ,  actualización de s0ftware  ,2025/01/24,PENDIENTE,0
  Sistemas  ,Administrador TI,  Consulta general  ,25-01-25,,0
,Help Desk,ERROR DE SISTEMA,2025-01-26,  PENDIENTE  ,0
  Recursos humanos  ,HELP DESK,ERROR DE SISTEMA,2025-01-27,En proceso,0
Recursos humanos,  Administrador TI  ,CONSULTA GENERAL,2025-01-28,Resuelto,3
recursos humanos,  Juan Pérez  ,,2025-01-29,CERRADO,4
finanzas,ADMINISTRADOR TI,  Consulta general  ,2025-01-30,  Cerrado  ,5
SOPORTE TÉCNICO,SOPORTE NIVEL 1,Consulta general,2025-01-31,pendiente,0
soporte técnico,Help Desk,SOLICITUD DE EQUIPO,2025-02-01,En proceso,0
,HELP DESK,Consulta general,25/02/02,Resuelto,3
Finanzas,ADMINISTRADOR TI,  Problema de acceso  ,2025-02-03,Resuelto,1
